EXPERIMENT,MR,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,COUNT
assertions_seed11,MR0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,15
assertions_seed11,MR2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,10
