FuchsTransformer2020	inproceedings			Fuchs, Fabian B. and Worrall, Daniel E. and Fischer, Volker and Welling, Max	2020	{SE(3)
Chen2014SGHMC	article			Chen, Tianqi and Fox, Emily and Guestrin, Carlos	2014	Stochastic Gradient {Hamiltonian
Bronstein2021GDL	misc		2104.13478	Bronstein, Michael M. and Bruna, Joan and Cohen, Taco and Veli\v{c	2021	Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges
KondorTrivedi2018	inproceedings			Kondor, Risi and Trivedi, Shubhendu	2018	On the Generalization of Equivariance and Convolution in Neural Networks to the Action of Compact Groups
DeepXplore2017	inproceedings	10.1145/3132747.3132785		Pei, Kexin and Cao, Yinzhi and Yang, Junfeng and Jana, Suman	2017	{DeepXplore
Gomez2017Reversible	inproceedings			Gomez, Aidan N. and Ren, Mengye and Urtasun, Raquel and Grosse, Roger B.	2017	The Reversible Residual Network: Backpropagation Without Storing Activations
Liu2014MTEffectiveness	article	10.1109/TSE.2013.46		Liu, Huai and Kuo, Fei-Ching and Towey, Dave and Chen, Tsong Yueh	2014	How Effectively Does Metamorphic Testing Alleviate the Oracle Problem?
Kanewala2016GraphKernel	article	10.1002/stvr.1594		Kanewala, Upulee and Bieman, James M. and Ben-Hur, Asa	2016	Predicting Metamorphic Relations for Testing Scientific Software: A Machine Learning Approach Using Graph Kernels
Zhou2020SymmetryMRP	article	10.1109/TSE.2018.2876433		Zhou, Zhi Quan and Sun, Liqun and Chen, Tsong Yueh and Towey, Dave	2020	Metamorphic Relations for Enhancing System Understanding and Use
Ying2025MRPatterns	article	10.1002/stvr.70003		Ying, Zhihao and Towey, Dave and Bellotti, Anthony and Chua, Caslon and Zhou, Zhi Quan	2025	Metamorphic Relation Patterns for Metamorphic Testing, Exploration and Robustness
