pair_id,complexity,n_nodes_total,is_equivalent_ground_truth,set_n_applicable,set_n_detected,set_n_mr_fired,set_segura_applicable,set_segura_detected,set_segura_mr_fired,seed,timestamp
testDistinctCountMixed,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountMixed2,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountMixedJoin,hard,18,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountMultiple,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountMultipleNoGroup,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountMultipleViaJoin,hard,18,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountWithExpandSumType,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctCountWithoutGroupBy,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctNonDistinctAggregates,medium,11,True,0,0,,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testDistinctNonDistinctAggregatesWithGrouping1,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctNonDistinctAggregatesWithGrouping2,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctNonDistinctTwoAggregatesWithGrouping,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctWithDiffFiltersAndSameGroupSet,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctWithFilterAndGroupBy,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctWithFilterWithoutGroupBy,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctWithGrouping,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctWithMultipleInputs,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testDistinctWithMultipleInputsAndGroupby,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyAggregate,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyAggregateEmptyKeyWithAggregateValuesRule,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyFilterProjectUnion,easy,4,True,0,0,,1,1,disjoint_split,22,2026-05-06T06:42:10+00:00
testEmptyIntersect,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyMinus,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyMinus2,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyProject,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyProject2,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptySort,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptySort2,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptySortLimitZero,easy,3,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyTable,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testEmptyTableTransformsComplexQueryToSingleTableScan,medium,10,True,1,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExistsWithAtLeastOneRowSubQuery,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExistsWithNoRowSubQuery,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterConstantInCorrelatedWithTwoSubQueries,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterConstantInWithTwoSubQueries,hard,23,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterExists,medium,12,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterExistsSimple,medium,11,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterExistsSimpleAnd,medium,12,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterIn,medium,12,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterIn3Value,hard,17,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterInComposite,medium,11,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterInCorrelatedWithTwoSubQueries,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterInWithTwoSubQueries,hard,27,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandFilterScalar,hard,17,True,1,1,select_push,0,0,,22,2026-05-06T06:42:10+00:00
testExpandJoinExists,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testExpandJoinScalar,hard,20,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testExpandProjectExists,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandProjectIn,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandProjectInComposite,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandProjectInNullable,hard,16,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandProjectInWithTwoSubQueries,hard,22,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandProjectScalar,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpandWhereComparisonCorrelated,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpressionSimplification1,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExpressionSimplification2,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExtractJoinFilterRule,medium,9,True,1,1,select_push,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testExtractYearMonthToRange,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testExtractYearToRange,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testFilterJoinRuleAndIsNotNull,medium,10,True,1,1,select_push,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testFilterJoinRuleOrIsNotNull,medium,10,True,1,1,select_push,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testFilterProjectTranspose,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testFilterRemoveIsNotDistinctFromRule,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testFlattenUncorrelatedCallBelowEquals,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testFlattenUncorrelatedTwoLevelCallBelowEqualsSucceeds,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testFullOuterJoinSimplificationToInner,medium,12,True,1,1,select_push,1,0,,22,2026-05-06T06:42:10+00:00
testFullOuterJoinSimplificationToLeftOuter,medium,11,True,1,0,,1,0,,22,2026-05-06T06:42:10+00:00
testFullOuterJoinSimplificationToRightOuter,medium,11,True,1,1,select_push,1,0,,22,2026-05-06T06:42:10+00:00
testGroupByBooleanLiteralSimple,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testGroupByDateLiteralSimple,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testGroupByMultipleLiterals,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testInferringPredicatesWithNotOperatorInJoinCondition,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testInnerCorrelateWithLeftEmpty,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testInnerCorrelateWithRightEmpty,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testIntersectToDistinct,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testJoinAssociateRuleWithBottomAlwaysTrueConditionAllowed,medium,10,True,0,0,,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testJoinAssociateRuleWithTopAlwaysTrueConditionAllowed,medium,10,True,0,0,,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testJoinCommuteRuleWithAlwaysTrueConditionAllowed,easy,7,True,0,0,,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testJoinConditionPushdown1,medium,13,True,1,0,,0,0,,22,2026-05-06T06:42:10+00:00
testJoinConditionPushdown2,medium,10,True,1,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinConditionPushdown4,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinConditionPushdown6,medium,9,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule1,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule12,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule15,medium,9,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule2,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule3,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule4,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinDeriveIsNotNullFilterRule5,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinProjectTranspose1,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinProjectTranspose7,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinProjectTranspose8,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinProjectTransposeWindow,medium,12,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testJoinPushTransitivePredicatesRule2,hard,33,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testLeftCorrelateWithBothEmpty1,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftCorrelateWithBothEmpty2,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftCorrelateWithBothEmpty3,easy,1,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftCorrelateWithLeftEmpty,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftCorrelateWithRightEmpty,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftEmptyAntiJoin,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftEmptyFullJoin,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftEmptyInnerJoin,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftEmptyLeftJoin,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftEmptyRightJoin,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftEmptySemiJoin,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testLeftOuterJoinSimplificationToInner,medium,11,True,1,1,select_push,1,0,,22,2026-05-06T06:42:10+00:00
testMaxReuseDistinctAttrWithMixedOptionality,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMergeFilter,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMergeIntersect,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMergeJoinFilter,medium,12,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testMergeMinus,easy,0,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testMergeUnionAll,easy,2,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
